elliptical_sentences,,,,,full_sentences,,,,,contrast_sentences,,,,,tree_type
John does not cook pizza but Tim does,,,,,John does not cook pizza but Tim cooks pizza,,,,,John does not cook pizza but Tim makes,,,,,4
John does not cook pizza but Sarah does,,,,,John does not cook pizza but Sarah cooks pizza,,,,,John does not cook pizza but Sarah makes,,,,,4
John does not cook pizza but Mary does,,,,,John does not cook pizza but Mary cooks pizza,,,,,John does not cook pizza but Mary makes,,,,,4
John does not cook sushi but Tim does,,,,,John does not cook sushi but Tim cooks sushi,,,,,John does not cook sushi but Tim makes,,,,,4
John does not cook sushi but Sarah does,,,,,John does not cook sushi but Sarah cooks sushi,,,,,John does not cook sushi but Sarah makes,,,,,4
John does not cook sushi but Mary does,,,,,John does not cook sushi but Mary cooks sushi,,,,,John does not cook sushi but Mary makes,,,,,4
Tim will not like coffee but Sarah will,,,,,Tim will not like coffee but Sarah will like coffee,,,,,Tim will not like coffee but Sarah appreciates,,,,,4
Tim will not like coffee but Mary will,,,,,Tim will not like coffee but Mary will like coffee,,,,,Tim will not like coffee but Mary appreciates,,,,,4
Tim will not like coffee but John will,,,,,Tim will not like coffee but John will like coffee,,,,,Tim will not like coffee but John appreciates,,,,,4
Tim will not like tea but Sarah will,,,,,Tim will not like tea but Sarah will like tea,,,,,Tim will not like tea but Sarah appreciates,,,,,4
Tim will not like tea but Mary will,,,,,Tim will not like tea but Mary will like tea,,,,,Tim will not like tea but Mary appreciates,,,,,4
Tim will not like tea but John will,,,,,Tim will not like tea but John will like tea,,,,,Tim will not like tea but John appreciates,,,,,4
Tim will not like chess but Sarah will,,,,,Tim will not like chess but Sarah will like chess,,,,,Tim will not like chess but Sarah appreciates,,,,,4
Tim will not like chess but Mary will,,,,,Tim will not like chess but Mary will like chess,,,,,Tim will not like chess but Mary appreciates,,,,,4
Tim will not like chess but John will,,,,,Tim will not like chess but John will like chess,,,,,Tim will not like chess but John appreciates,,,,,4
Tim will not like music but Sarah will,,,,,Tim will not like music but Sarah will like music,,,,,Tim will not like music but Sarah appreciates,,,,,4
Tim will not like music but Mary will,,,,,Tim will not like music but Mary will like music,,,,,Tim will not like music but Mary appreciates,,,,,4
Tim will not like music but John will,,,,,Tim will not like music but John will like music,,,,,Tim will not like music but John appreciates,,,,,4
Tim will not like novel but Sarah will,,,,,Tim will not like novel but Sarah will like novel,,,,,Tim will not like novel but Sarah appreciates,,,,,4
Tim will not like novel but Mary will,,,,,Tim will not like novel but Mary will like novel,,,,,Tim will not like novel but Mary appreciates,,,,,4
Tim will not like novel but John will,,,,,Tim will not like novel but John will like novel,,,,,Tim will not like novel but John appreciates,,,,,4
Tim will not like tennis but Sarah will,,,,,Tim will not like tennis but Sarah will like tennis,,,,,Tim will not like tennis but Sarah appreciates,,,,,4
Tim will not like tennis but Mary will,,,,,Tim will not like tennis but Mary will like tennis,,,,,Tim will not like tennis but Mary appreciates,,,,,4
Tim will not like tennis but John will,,,,,Tim will not like tennis but John will like tennis,,,,,Tim will not like tennis but John appreciates,,,,,4
Tim will not like math but Sarah will,,,,,Tim will not like math but Sarah will like math,,,,,Tim will not like math but Sarah appreciates,,,,,4
Tim will not like math but Mary will,,,,,Tim will not like math but Mary will like math,,,,,Tim will not like math but Mary appreciates,,,,,4
Tim will not like math but John will,,,,,Tim will not like math but John will like math,,,,,Tim will not like math but John appreciates,,,,,4
Tim will not like history but Sarah will,,,,,Tim will not like history but Sarah will like history,,,,,Tim will not like history but Sarah appreciates,,,,,4
Tim will not like history but Mary will,,,,,Tim will not like history but Mary will like history,,,,,Tim will not like history but Mary appreciates,,,,,4
Tim will not like history but John will,,,,,Tim will not like history but John will like history,,,,,Tim will not like history but John appreciates,,,,,4
Tim will not like pizza but Sarah will,,,,,Tim will not like pizza but Sarah will like pizza,,,,,Tim will not like pizza but Sarah appreciates,,,,,4
Tim will not like pizza but Mary will,,,,,Tim will not like pizza but Mary will like pizza,,,,,Tim will not like pizza but Mary appreciates,,,,,4
Tim will not like pizza but John will,,,,,Tim will not like pizza but John will like pizza,,,,,Tim will not like pizza but John appreciates,,,,,4
Tim will not like sushi but Sarah will,,,,,Tim will not like sushi but Sarah will like sushi,,,,,Tim will not like sushi but Sarah appreciates,,,,,4
Tim will not like sushi but Mary will,,,,,Tim will not like sushi but Mary will like sushi,,,,,Tim will not like sushi but Mary appreciates,,,,,4
Tim will not like sushi but John will,,,,,Tim will not like sushi but John will like sushi,,,,,Tim will not like sushi but John appreciates,,,,,4
Tim will not like movies but Sarah will,,,,,Tim will not like movies but Sarah will like movies,,,,,Tim will not like movies but Sarah appreciates,,,,,4
Tim will not like movies but Mary will,,,,,Tim will not like movies but Mary will like movies,,,,,Tim will not like movies but Mary appreciates,,,,,4
Tim will not like movies but John will,,,,,Tim will not like movies but John will like movies,,,,,Tim will not like movies but John appreciates,,,,,4
Tim will not like TV shows but Sarah will,,,,,Tim will not like TV shows but Sarah will TV shows,,,,,Tim will not like TV shows but Sarah appreciates,,,,,4
Tim will not like TV shows but Mary will,,,,,Tim will not like TV shows but Mary will TV shows,,,,,Tim will not like TV shows but Mary appreciates,,,,,4
Tim will not like TV shows but John will,,,,,Tim will not like TV shows but John will TV shows,,,,,Tim will not like TV shows but John appreciates,,,,,4
Tim will not like poems but Sarah will,,,,,Tim will not like poems but Sarah will like poems,,,,,Tim will not like poems but Sarah appreciates,,,,,4
Tim will not like poems but Mary will,,,,,Tim will not like poems but Mary will like poems,,,,,Tim will not like poems but Mary appreciates,,,,,4
Tim will not like poems but John will,,,,,Tim will not like poems but John will like poems,,,,,Tim will not like poems but John appreciates,,,,,4
Tim will not play chess but Sarah will,,,,,Tim will not play chess but Sarah will play chess,,,,,Tim will not play chess but Sarah participates,,,,,4
Tim will not play chess but Mary will,,,,,Tim will not play chess but Mary will play chess,,,,,Tim will not play chess but Mary participates,,,,,4
Tim will not play chess but John will,,,,,Tim will not play chess but John will play chess,,,,,Tim will not play chess but John participates,,,,,4
Tim will not play tennis but Sarah will,,,,,Tim will not play tennis but Sarah will play tennis,,,,,Tim will not play tennis but Sarah participates,,,,,4
Tim will not play tennis but Mary will,,,,,Tim will not play tennis but Mary will play tennis,,,,,Tim will not play tennis but Mary participates,,,,,4
Tim will not play tennis but John will,,,,,Tim will not play tennis but John will play tennis,,,,,Tim will not play tennis but John participates,,,,,4
Tim will not read novel but Sarah will,,,,,Tim will not read novel but Sarah will read novel,,,,,Tim will not read novel but Sarah interprets,,,,,4
Tim will not read novel but Mary will,,,,,Tim will not read novel but Mary will read novel,,,,,Tim will not read novel but Mary interprets,,,,,4
Tim will not read novel but John will,,,,,Tim will not read novel but John will read novel,,,,,Tim will not read novel but John interprets,,,,,4
Tim will not read poems but Sarah will,,,,,Tim will not read poems but Sarah will read poems,,,,,Tim will not read poems but Sarah interprets,,,,,4
Tim will not read poems but Mary will,,,,,Tim will not read poems but Mary will read poems,,,,,Tim will not read poems but Mary interprets,,,,,4
Tim will not read poems but John will,,,,,Tim will not read poems but John will read poems,,,,,Tim will not read poems but John interprets,,,,,4
Tim will not watch movies but Sarah will,,,,,Tim will not watch movies but Sarah will watch movies,,,,,Tim will not watch movies but Sarah sees,,,,,4
Tim will not watch movies but Mary will,,,,,Tim will not watch movies but Mary will watch movies,,,,,Tim will not watch movies but Mary sees,,,,,4
Tim will not watch movies but John will,,,,,Tim will not watch movies but John will watch movies,,,,,Tim will not watch movies but John sees,,,,,4
Tim will not watch TV shows but Sarah will,,,,,Tim will not watch TV shows but Sarah will TV shows,,,,,Tim will not watch TV shows but Sarah sees,,,,,4
Tim will not watch TV shows but Mary will,,,,,Tim will not watch TV shows but Mary will TV shows,,,,,Tim will not watch TV shows but Mary sees,,,,,4
Tim will not watch TV shows but John will,,,,,Tim will not watch TV shows but John will TV shows,,,,,Tim will not watch TV shows but John sees,,,,,4
Tim will not study coffee but Sarah will,,,,,Tim will not study coffee but Sarah will study coffee,,,,,Tim will not study coffee but Sarah learns,,,,,4
Tim will not study coffee but Mary will,,,,,Tim will not study coffee but Mary will study coffee,,,,,Tim will not study coffee but Mary learns,,,,,4
Tim will not study coffee but John will,,,,,Tim will not study coffee but John will study coffee,,,,,Tim will not study coffee but John learns,,,,,4
Tim will not study tea but Sarah will,,,,,Tim will not study tea but Sarah will study tea,,,,,Tim will not study tea but Sarah learns,,,,,4
Tim will not study tea but Mary will,,,,,Tim will not study tea but Mary will study tea,,,,,Tim will not study tea but Mary learns,,,,,4
Tim will not study tea but John will,,,,,Tim will not study tea but John will study tea,,,,,Tim will not study tea but John learns,,,,,4
Tim will not study chess but Sarah will,,,,,Tim will not study chess but Sarah will study chess,,,,,Tim will not study chess but Sarah learns,,,,,4
Tim will not study chess but Mary will,,,,,Tim will not study chess but Mary will study chess,,,,,Tim will not study chess but Mary learns,,,,,4
Tim will not study chess but John will,,,,,Tim will not study chess but John will study chess,,,,,Tim will not study chess but John learns,,,,,4
Tim will not study music but Sarah will,,,,,Tim will not study music but Sarah will study music,,,,,Tim will not study music but Sarah learns,,,,,4
Tim will not study music but Mary will,,,,,Tim will not study music but Mary will study music,,,,,Tim will not study music but Mary learns,,,,,4
Tim will not study music but John will,,,,,Tim will not study music but John will study music,,,,,Tim will not study music but John learns,,,,,4
Tim will not study novel but Sarah will,,,,,Tim will not study novel but Sarah will study novel,,,,,Tim will not study novel but Sarah learns,,,,,4
Tim will not study novel but Mary will,,,,,Tim will not study novel but Mary will study novel,,,,,Tim will not study novel but Mary learns,,,,,4
Tim will not study novel but John will,,,,,Tim will not study novel but John will study novel,,,,,Tim will not study novel but John learns,,,,,4
Tim will not study math but Sarah will,,,,,Tim will not study math but Sarah will study math,,,,,Tim will not study math but Sarah learns,,,,,4
Tim will not study math but Mary will,,,,,Tim will not study math but Mary will study math,,,,,Tim will not study math but Mary learns,,,,,4
Tim will not study math but John will,,,,,Tim will not study math but John will study math,,,,,Tim will not study math but John learns,,,,,4
Tim will not study history but Sarah will,,,,,Tim will not study history but Sarah will study history,,,,,Tim will not study history but Sarah learns,,,,,4
Tim will not study history but Mary will,,,,,Tim will not study history but Mary will study history,,,,,Tim will not study history but Mary learns,,,,,4
Tim will not study history but John will,,,,,Tim will not study history but John will study history,,,,,Tim will not study history but John learns,,,,,4
Tim will not study pizza but Sarah will,,,,,Tim will not study pizza but Sarah will study pizza,,,,,Tim will not study pizza but Sarah learns,,,,,4
Tim will not study pizza but Mary will,,,,,Tim will not study pizza but Mary will study pizza,,,,,Tim will not study pizza but Mary learns,,,,,4
Tim will not study pizza but John will,,,,,Tim will not study pizza but John will study pizza,,,,,Tim will not study pizza but John learns,,,,,4
Tim will not study sushi but Sarah will,,,,,Tim will not study sushi but Sarah will study sushi,,,,,Tim will not study sushi but Sarah learns,,,,,4
Tim will not study sushi but Mary will,,,,,Tim will not study sushi but Mary will study sushi,,,,,Tim will not study sushi but Mary learns,,,,,4
Tim will not study sushi but John will,,,,,Tim will not study sushi but John will study sushi,,,,,Tim will not study sushi but John learns,,,,,4
Tim will not study movies but Sarah will,,,,,Tim will not study movies but Sarah will study movies,,,,,Tim will not study movies but Sarah learns,,,,,4
Tim will not study movies but Mary will,,,,,Tim will not study movies but Mary will study movies,,,,,Tim will not study movies but Mary learns,,,,,4
Tim will not study movies but John will,,,,,Tim will not study movies but John will study movies,,,,,Tim will not study movies but John learns,,,,,4
Tim will not study TV shows but Sarah will,,,,,Tim will not study TV shows but Sarah will TV shows,,,,,Tim will not study TV shows but Sarah learns,,,,,4
Tim will not study TV shows but Mary will,,,,,Tim will not study TV shows but Mary will TV shows,,,,,Tim will not study TV shows but Mary learns,,,,,4
Tim will not study TV shows but John will,,,,,Tim will not study TV shows but John will TV shows,,,,,Tim will not study TV shows but John learns,,,,,4
Tim will not teach chess but Sarah will,,,,,Tim will not teach chess but Sarah will teach chess,,,,,Tim will not teach chess but Sarah tutors,,,,,4
Tim will not teach chess but Mary will,,,,,Tim will not teach chess but Mary will teach chess,,,,,Tim will not teach chess but Mary tutors,,,,,4
Tim will not teach chess but John will,,,,,Tim will not teach chess but John will teach chess,,,,,Tim will not teach chess but John tutors,,,,,4
Tim will not teach music but Sarah will,,,,,Tim will not teach music but Sarah will teach music,,,,,Tim will not teach music but Sarah tutors,,,,,4
Tim will not teach music but Mary will,,,,,Tim will not teach music but Mary will teach music,,,,,Tim will not teach music but Mary tutors,,,,,4
Tim will not teach music but John will,,,,,Tim will not teach music but John will teach music,,,,,Tim will not teach music but John tutors,,,,,4
Tim will not teach tennis but Sarah will,,,,,Tim will not teach tennis but Sarah will teach tennis,,,,,Tim will not teach tennis but Sarah tutors,,,,,4
Tim will not teach tennis but Mary will,,,,,Tim will not teach tennis but Mary will teach tennis,,,,,Tim will not teach tennis but Mary tutors,,,,,4
Tim will not teach tennis but John will,,,,,Tim will not teach tennis but John will teach tennis,,,,,Tim will not teach tennis but John tutors,,,,,4
Tim will not teach math but Sarah will,,,,,Tim will not teach math but Sarah will teach math,,,,,Tim will not teach math but Sarah tutors,,,,,4
Tim will not teach math but Mary will,,,,,Tim will not teach math but Mary will teach math,,,,,Tim will not teach math but Mary tutors,,,,,4
Tim will not teach math but John will,,,,,Tim will not teach math but John will teach math,,,,,Tim will not teach math but John tutors,,,,,4
Tim will not teach history but Sarah will,,,,,Tim will not teach history but Sarah will teach history,,,,,Tim will not teach history but Sarah tutors,,,,,4
Tim will not teach history but Mary will,,,,,Tim will not teach history but Mary will teach history,,,,,Tim will not teach history but Mary tutors,,,,,4
Tim will not teach history but John will,,,,,Tim will not teach history but John will teach history,,,,,Tim will not teach history but John tutors,,,,,4
Tim will not cook pizza but Sarah will,,,,,Tim will not cook pizza but Sarah will cook pizza,,,,,Tim will not cook pizza but Sarah makes,,,,,4
Tim will not cook pizza but Mary will,,,,,Tim will not cook pizza but Mary will cook pizza,,,,,Tim will not cook pizza but Mary makes,,,,,4
Tim will not cook pizza but John will,,,,,Tim will not cook pizza but John will cook pizza,,,,,Tim will not cook pizza but John makes,,,,,4
Tim will not cook sushi but Sarah will,,,,,Tim will not cook sushi but Sarah will cook sushi,,,,,Tim will not cook sushi but Sarah makes,,,,,4
Tim will not cook sushi but Mary will,,,,,Tim will not cook sushi but Mary will cook sushi,,,,,Tim will not cook sushi but Mary makes,,,,,4
Tim will not cook sushi but John will,,,,,Tim will not cook sushi but John will cook sushi,,,,,Tim will not cook sushi but John makes,,,,,4
Sarah will not like coffee but Tim will,,,,,Sarah will not like coffee but Tim will like coffee,,,,,Sarah will not like coffee but Tim appreciates,,,,,4
Sarah will not like coffee but Mary will,,,,,Sarah will not like coffee but Mary will like coffee,,,,,Sarah will not like coffee but Mary appreciates,,,,,4
Sarah will not like coffee but John will,,,,,Sarah will not like coffee but John will like coffee,,,,,Sarah will not like coffee but John appreciates,,,,,4
Sarah will not like tea but Tim will,,,,,Sarah will not like tea but Tim will like tea,,,,,Sarah will not like tea but Tim appreciates,,,,,4
Sarah will not like tea but Mary will,,,,,Sarah will not like tea but Mary will like tea,,,,,Sarah will not like tea but Mary appreciates,,,,,4
Sarah will not like tea but John will,,,,,Sarah will not like tea but John will like tea,,,,,Sarah will not like tea but John appreciates,,,,,4
Sarah will not like chess but Tim will,,,,,Sarah will not like chess but Tim will like chess,,,,,Sarah will not like chess but Tim appreciates,,,,,4
Sarah will not like chess but Mary will,,,,,Sarah will not like chess but Mary will like chess,,,,,Sarah will not like chess but Mary appreciates,,,,,4
Sarah will not like chess but John will,,,,,Sarah will not like chess but John will like chess,,,,,Sarah will not like chess but John appreciates,,,,,4
Sarah will not like music but Tim will,,,,,Sarah will not like music but Tim will like music,,,,,Sarah will not like music but Tim appreciates,,,,,4
Sarah will not like music but Mary will,,,,,Sarah will not like music but Mary will like music,,,,,Sarah will not like music but Mary appreciates,,,,,4
Sarah will not like music but John will,,,,,Sarah will not like music but John will like music,,,,,Sarah will not like music but John appreciates,,,,,4
Sarah will not like novel but Tim will,,,,,Sarah will not like novel but Tim will like novel,,,,,Sarah will not like novel but Tim appreciates,,,,,4
Sarah will not like novel but Mary will,,,,,Sarah will not like novel but Mary will like novel,,,,,Sarah will not like novel but Mary appreciates,,,,,4
Sarah will not like novel but John will,,,,,Sarah will not like novel but John will like novel,,,,,Sarah will not like novel but John appreciates,,,,,4
Sarah will not like tennis but Tim will,,,,,Sarah will not like tennis but Tim will like tennis,,,,,Sarah will not like tennis but Tim appreciates,,,,,4
Sarah will not like tennis but Mary will,,,,,Sarah will not like tennis but Mary will like tennis,,,,,Sarah will not like tennis but Mary appreciates,,,,,4
Sarah will not like tennis but John will,,,,,Sarah will not like tennis but John will like tennis,,,,,Sarah will not like tennis but John appreciates,,,,,4
Sarah will not like math but Tim will,,,,,Sarah will not like math but Tim will like math,,,,,Sarah will not like math but Tim appreciates,,,,,4
Sarah will not like math but Mary will,,,,,Sarah will not like math but Mary will like math,,,,,Sarah will not like math but Mary appreciates,,,,,4
Sarah will not like math but John will,,,,,Sarah will not like math but John will like math,,,,,Sarah will not like math but John appreciates,,,,,4
Sarah will not like history but Tim will,,,,,Sarah will not like history but Tim will like history,,,,,Sarah will not like history but Tim appreciates,,,,,4
Sarah will not like history but Mary will,,,,,Sarah will not like history but Mary will like history,,,,,Sarah will not like history but Mary appreciates,,,,,4
Sarah will not like history but John will,,,,,Sarah will not like history but John will like history,,,,,Sarah will not like history but John appreciates,,,,,4
Sarah will not like pizza but Tim will,,,,,Sarah will not like pizza but Tim will like pizza,,,,,Sarah will not like pizza but Tim appreciates,,,,,4
Sarah will not like pizza but Mary will,,,,,Sarah will not like pizza but Mary will like pizza,,,,,Sarah will not like pizza but Mary appreciates,,,,,4
Sarah will not like pizza but John will,,,,,Sarah will not like pizza but John will like pizza,,,,,Sarah will not like pizza but John appreciates,,,,,4
Sarah will not like sushi but Tim will,,,,,Sarah will not like sushi but Tim will like sushi,,,,,Sarah will not like sushi but Tim appreciates,,,,,4
Sarah will not like sushi but Mary will,,,,,Sarah will not like sushi but Mary will like sushi,,,,,Sarah will not like sushi but Mary appreciates,,,,,4
Sarah will not like sushi but John will,,,,,Sarah will not like sushi but John will like sushi,,,,,Sarah will not like sushi but John appreciates,,,,,4
Sarah will not like movies but Tim will,,,,,Sarah will not like movies but Tim will like movies,,,,,Sarah will not like movies but Tim appreciates,,,,,4
Sarah will not like movies but Mary will,,,,,Sarah will not like movies but Mary will like movies,,,,,Sarah will not like movies but Mary appreciates,,,,,4
Sarah will not like movies but John will,,,,,Sarah will not like movies but John will like movies,,,,,Sarah will not like movies but John appreciates,,,,,4
Sarah will not like TV shows but Tim will,,,,,Sarah will not like TV shows but Tim will TV shows,,,,,Sarah will not like TV shows but Tim appreciates,,,,,4
Sarah will not like TV shows but Mary will,,,,,Sarah will not like TV shows but Mary will TV shows,,,,,Sarah will not like TV shows but Mary appreciates,,,,,4
Sarah will not like TV shows but John will,,,,,Sarah will not like TV shows but John will TV shows,,,,,Sarah will not like TV shows but John appreciates,,,,,4
Sarah will not like poems but Tim will,,,,,Sarah will not like poems but Tim will like poems,,,,,Sarah will not like poems but Tim appreciates,,,,,4
Sarah will not like poems but Mary will,,,,,Sarah will not like poems but Mary will like poems,,,,,Sarah will not like poems but Mary appreciates,,,,,4
Sarah will not like poems but John will,,,,,Sarah will not like poems but John will like poems,,,,,Sarah will not like poems but John appreciates,,,,,4
Sarah will not play chess but Tim will,,,,,Sarah will not play chess but Tim will play chess,,,,,Sarah will not play chess but Tim participates,,,,,4
Sarah will not play chess but Mary will,,,,,Sarah will not play chess but Mary will play chess,,,,,Sarah will not play chess but Mary participates,,,,,4
Sarah will not play chess but John will,,,,,Sarah will not play chess but John will play chess,,,,,Sarah will not play chess but John participates,,,,,4
Sarah will not play tennis but Tim will,,,,,Sarah will not play tennis but Tim will play tennis,,,,,Sarah will not play tennis but Tim participates,,,,,4
Sarah will not play tennis but Mary will,,,,,Sarah will not play tennis but Mary will play tennis,,,,,Sarah will not play tennis but Mary participates,,,,,4
Sarah will not play tennis but John will,,,,,Sarah will not play tennis but John will play tennis,,,,,Sarah will not play tennis but John participates,,,,,4
Sarah will not read novel but Tim will,,,,,Sarah will not read novel but Tim will read novel,,,,,Sarah will not read novel but Tim interprets,,,,,4
Sarah will not read novel but Mary will,,,,,Sarah will not read novel but Mary will read novel,,,,,Sarah will not read novel but Mary interprets,,,,,4
Sarah will not read novel but John will,,,,,Sarah will not read novel but John will read novel,,,,,Sarah will not read novel but John interprets,,,,,4
Sarah will not read poems but Tim will,,,,,Sarah will not read poems but Tim will read poems,,,,,Sarah will not read poems but Tim interprets,,,,,4
Sarah will not read poems but Mary will,,,,,Sarah will not read poems but Mary will read poems,,,,,Sarah will not read poems but Mary interprets,,,,,4
Sarah will not read poems but John will,,,,,Sarah will not read poems but John will read poems,,,,,Sarah will not read poems but John interprets,,,,,4
Sarah will not watch movies but Tim will,,,,,Sarah will not watch movies but Tim will watch movies,,,,,Sarah will not watch movies but Tim sees,,,,,4
Sarah will not watch movies but Mary will,,,,,Sarah will not watch movies but Mary will watch movies,,,,,Sarah will not watch movies but Mary sees,,,,,4
Sarah will not watch movies but John will,,,,,Sarah will not watch movies but John will watch movies,,,,,Sarah will not watch movies but John sees,,,,,4
Sarah will not watch TV shows but Tim will,,,,,Sarah will not watch TV shows but Tim will TV shows,,,,,Sarah will not watch TV shows but Tim sees,,,,,4
Sarah will not watch TV shows but Mary will,,,,,Sarah will not watch TV shows but Mary will TV shows,,,,,Sarah will not watch TV shows but Mary sees,,,,,4
Sarah will not watch TV shows but John will,,,,,Sarah will not watch TV shows but John will TV shows,,,,,Sarah will not watch TV shows but John sees,,,,,4
Sarah will not study coffee but Tim will,,,,,Sarah will not study coffee but Tim will study coffee,,,,,Sarah will not study coffee but Tim learns,,,,,4
Sarah will not study coffee but Mary will,,,,,Sarah will not study coffee but Mary will study coffee,,,,,Sarah will not study coffee but Mary learns,,,,,4
Sarah will not study coffee but John will,,,,,Sarah will not study coffee but John will study coffee,,,,,Sarah will not study coffee but John learns,,,,,4
Sarah will not study tea but Tim will,,,,,Sarah will not study tea but Tim will study tea,,,,,Sarah will not study tea but Tim learns,,,,,4
Sarah will not study tea but Mary will,,,,,Sarah will not study tea but Mary will study tea,,,,,Sarah will not study tea but Mary learns,,,,,4
Sarah will not study tea but John will,,,,,Sarah will not study tea but John will study tea,,,,,Sarah will not study tea but John learns,,,,,4
Sarah will not study chess but Tim will,,,,,Sarah will not study chess but Tim will study chess,,,,,Sarah will not study chess but Tim learns,,,,,4
Sarah will not study chess but Mary will,,,,,Sarah will not study chess but Mary will study chess,,,,,Sarah will not study chess but Mary learns,,,,,4
Sarah will not study chess but John will,,,,,Sarah will not study chess but John will study chess,,,,,Sarah will not study chess but John learns,,,,,4
Sarah will not study music but Tim will,,,,,Sarah will not study music but Tim will study music,,,,,Sarah will not study music but Tim learns,,,,,4
Sarah will not study music but Mary will,,,,,Sarah will not study music but Mary will study music,,,,,Sarah will not study music but Mary learns,,,,,4
Sarah will not study music but John will,,,,,Sarah will not study music but John will study music,,,,,Sarah will not study music but John learns,,,,,4
Sarah will not study novel but Tim will,,,,,Sarah will not study novel but Tim will study novel,,,,,Sarah will not study novel but Tim learns,,,,,4
Sarah will not study novel but Mary will,,,,,Sarah will not study novel but Mary will study novel,,,,,Sarah will not study novel but Mary learns,,,,,4
Sarah will not study novel but John will,,,,,Sarah will not study novel but John will study novel,,,,,Sarah will not study novel but John learns,,,,,4
Sarah will not study math but Tim will,,,,,Sarah will not study math but Tim will study math,,,,,Sarah will not study math but Tim learns,,,,,4
Sarah will not study math but Mary will,,,,,Sarah will not study math but Mary will study math,,,,,Sarah will not study math but Mary learns,,,,,4
Sarah will not study math but John will,,,,,Sarah will not study math but John will study math,,,,,Sarah will not study math but John learns,,,,,4
Sarah will not study history but Tim will,,,,,Sarah will not study history but Tim will study history,,,,,Sarah will not study history but Tim learns,,,,,4
Sarah will not study history but Mary will,,,,,Sarah will not study history but Mary will study history,,,,,Sarah will not study history but Mary learns,,,,,4
Sarah will not study history but John will,,,,,Sarah will not study history but John will study history,,,,,Sarah will not study history but John learns,,,,,4
Sarah will not study pizza but Tim will,,,,,Sarah will not study pizza but Tim will study pizza,,,,,Sarah will not study pizza but Tim learns,,,,,4
Sarah will not study pizza but Mary will,,,,,Sarah will not study pizza but Mary will study pizza,,,,,Sarah will not study pizza but Mary learns,,,,,4
Sarah will not study pizza but John will,,,,,Sarah will not study pizza but John will study pizza,,,,,Sarah will not study pizza but John learns,,,,,4
Sarah will not study sushi but Tim will,,,,,Sarah will not study sushi but Tim will study sushi,,,,,Sarah will not study sushi but Tim learns,,,,,4
Sarah will not study sushi but Mary will,,,,,Sarah will not study sushi but Mary will study sushi,,,,,Sarah will not study sushi but Mary learns,,,,,4
Sarah will not study sushi but John will,,,,,Sarah will not study sushi but John will study sushi,,,,,Sarah will not study sushi but John learns,,,,,4
Sarah will not study movies but Tim will,,,,,Sarah will not study movies but Tim will study movies,,,,,Sarah will not study movies but Tim learns,,,,,4
Sarah will not study movies but Mary will,,,,,Sarah will not study movies but Mary will study movies,,,,,Sarah will not study movies but Mary learns,,,,,4
Sarah will not study movies but John will,,,,,Sarah will not study movies but John will study movies,,,,,Sarah will not study movies but John learns,,,,,4
Sarah will not study TV shows but Tim will,,,,,Sarah will not study TV shows but Tim will TV shows,,,,,Sarah will not study TV shows but Tim learns,,,,,4
Sarah will not study TV shows but Mary will,,,,,Sarah will not study TV shows but Mary will TV shows,,,,,Sarah will not study TV shows but Mary learns,,,,,4
Sarah will not study TV shows but John will,,,,,Sarah will not study TV shows but John will TV shows,,,,,Sarah will not study TV shows but John learns,,,,,4
Sarah will not teach chess but Tim will,,,,,Sarah will not teach chess but Tim will teach chess,,,,,Sarah will not teach chess but Tim tutors,,,,,4
Sarah will not teach chess but Mary will,,,,,Sarah will not teach chess but Mary will teach chess,,,,,Sarah will not teach chess but Mary tutors,,,,,4
Sarah will not teach chess but John will,,,,,Sarah will not teach chess but John will teach chess,,,,,Sarah will not teach chess but John tutors,,,,,4
Sarah will not teach music but Tim will,,,,,Sarah will not teach music but Tim will teach music,,,,,Sarah will not teach music but Tim tutors,,,,,4
Sarah will not teach music but Mary will,,,,,Sarah will not teach music but Mary will teach music,,,,,Sarah will not teach music but Mary tutors,,,,,4
Sarah will not teach music but John will,,,,,Sarah will not teach music but John will teach music,,,,,Sarah will not teach music but John tutors,,,,,4
Sarah will not teach tennis but Tim will,,,,,Sarah will not teach tennis but Tim will teach tennis,,,,,Sarah will not teach tennis but Tim tutors,,,,,4
Sarah will not teach tennis but Mary will,,,,,Sarah will not teach tennis but Mary will teach tennis,,,,,Sarah will not teach tennis but Mary tutors,,,,,4
Sarah will not teach tennis but John will,,,,,Sarah will not teach tennis but John will teach tennis,,,,,Sarah will not teach tennis but John tutors,,,,,4
Sarah will not teach math but Tim will,,,,,Sarah will not teach math but Tim will teach math,,,,,Sarah will not teach math but Tim tutors,,,,,4
Sarah will not teach math but Mary will,,,,,Sarah will not teach math but Mary will teach math,,,,,Sarah will not teach math but Mary tutors,,,,,4
Sarah will not teach math but John will,,,,,Sarah will not teach math but John will teach math,,,,,Sarah will not teach math but John tutors,,,,,4
Sarah will not teach history but Tim will,,,,,Sarah will not teach history but Tim will teach history,,,,,Sarah will not teach history but Tim tutors,,,,,4
Sarah will not teach history but Mary will,,,,,Sarah will not teach history but Mary will teach history,,,,,Sarah will not teach history but Mary tutors,,,,,4
Sarah will not teach history but John will,,,,,Sarah will not teach history but John will teach history,,,,,Sarah will not teach history but John tutors,,,,,4
Sarah will not cook pizza but Tim will,,,,,Sarah will not cook pizza but Tim will cook pizza,,,,,Sarah will not cook pizza but Tim makes,,,,,4
